245353_at	AT4G16000	 expressed protein			7.38	0.71	0.60	0.45	7.03			2.883698893	-0.490209996	-0.739475809	-1.139042512	2.813724155	0
245439_at	AT4G16670	 expressed protein			4.59	0.75	0.76	0.72				2.19955751	-0.41608932	-0.397802553	-0.478130564	0	0
245662_at	AT1G28190	 expressed protein			7.85	0.36	0.50	0.66	4.51			2.973489891	-1.474420894	-1.005109644	-0.602922263	2.17239304	0
245771_at	AT1G30250	 expressed protein			3.39	1.56	1.31	0.97	4.42			1.760900013	0.639542585	0.38830252	-0.049727736	2.143218553	0
246125_at	AT5G19875	 expressed protein			5.00	0.43	1.71	1.31		1.23		2.320681275	-1.218216942	0.774026461	0.388685363	0	0.29977627
246842_at	AT5G26731	 expressed protein			9.19	0.35	0.81	1.49		2.33		3.20064626	-1.521039786	-0.303009012	0.572303766	0	1.220482653
246909_at	AT5G25770	 expressed protein			7.29	0.91	0.80	0.80	11.73	5.26		2.86647606	-0.140144536	-0.320674502	-0.326504464	3.55262298	2.395717314
247049_at	AT5G66440	 expressed protein			3.58	1.21	0.84	0.80	2.45			1.839541063	0.272411089	-0.247114493	-0.318576654	1.28985805	0
247063_at	AT5G66820	 expressed protein			3.13	0.75	1.26	0.98	6.14	0.68		1.646119987	-0.413436108	0.333514602	-0.029665248	2.61941145	-0.556380321
247287_at	AT5G64230	 expressed protein			4.80	0.86	1.23	0.56	2.19	1.86		2.263083575	-0.221301452	0.300463849	-0.828729681	1.129980578	0.892389358
247324_at	AT5G64190;AT5G64200	 expressed protein			8.97	0.69	0.54	0.39	4.39	10.04		3.165722804	-0.538542027	-0.900736373	-1.350364156	2.135295893	3.327984176
247488_at	AT5G61820	" expressed protein MtN19, Medicago truncatula, EMBL:MTY15367"			6.15	1.02	0.90	1.12	3.34	4.20		2.621100003	0.027202653	-0.153516042	0.169750378	1.739094329	2.071147217
247741_at	AT5G58960	 expressed protein contains Pfam profile PF04859: Plant protein of unknown function (DUF641			3.43	0.71	0.97	0.75	3.07			1.778084187	-0.490392783	-0.042470348	-0.413339841	1.620126879	0
247751_at	AT5G59050	 expressed protein			10.55	0.56	1.40	0.87				3.398840398	-0.844655518	0.487269107	-0.207938436	0	0
247793_at	AT5G58650	 expressed protein			4.55	1.11	0.62	1.22	2.56	1.85		2.184525068	0.153457369	-0.699142505	0.282738571	1.355893214	0.88715526
247835_at	AT5G57910	 expressed protein similar to unknown protein (emb|CAB79781.1)			5.07	0.67	0.58	0.62	12.04	18.38		2.340677823	-0.575567774	-0.796399952	-0.684100079	3.58970133	4.200134441
248115_at	AT5G54870	 expressed protein strong similarity to unknown protein (pir||T04825)			4.50	0.59	0.69	0.69	3.00	4.82		2.17066007	-0.771359384	-0.544799	-0.526144913	1.583180438	2.269365176
248228_at	AT5G53800	 expressed protein			3.03	0.58	0.61	0.82	2.48			1.598015683	-0.788450874	-0.704217229	-0.279379981	1.30801717	0
248271_at	AT5G53420	 expressed protein			5.87	0.76	0.96	0.98		0.21		2.552325865	-0.387227124	-0.064578701	-0.033501026	0	-2.255587468
248819_at	AT5G47050	 expressed protein			5.00	1.19	1.08	0.92	2.28	9.77		2.321872954	0.246262425	0.113346561	-0.122463929	1.187733784	3.288397273
249134_at	AT5G43150	 expressed protein			4.37	1.04	1.16	1.64	0.19			2.127044111	0.0531523	0.216814456	0.713568282	-2.383580417	0
